"AGE","STAGE","YEARS","OD_HAZARD","OD_LOWER","OD_UPPER","CD_HAZARD","CD_LOWER","CD_UPPER"
"(59,64]","Distant",4,0.0181557202942007,0.0167439227787244,0.0196865564938366,0.164734169050551,0.158771748143026,0.170920560808864
"(59,64]","Distant",5,0.0186983936733427,0.0172342496686146,0.0202869255498595,0.130887145597166,0.1258223944125,0.136155831765838
"(59,64]","Distant",6,0.0191701527819562,0.0176529216993323,0.0208177879622846,0.108902572871707,0.104409077629063,0.113589503081242
"(59,64]","Distant",7,0.0195913675528093,0.0180220637614527,0.0212973228064111,0.0942512619005344,0.0901482361743125,0.0985410617384434
"(59,64]","Distant",8,0.0199746233889733,0.0183553078095921,0.0217367973575422,0.084287579995523,0.0804665225463128,0.0882900996570478
"(59,64]","Distant",9,0.0203282425278451,0.0186615006383266,0.0221438498757417,0.0774192251557082,0.0738092914837451,0.0812057229627961
"(59,64]","Distant",10,0.0205781980900393,0.0188776207386031,0.0224319707709222,0.0736393127847993,0.0701555146953852,0.0772961100914597
"(64,69]","Localized",0,0.0125285407163026,0.0118931109223364,0.0131979849464567,0.0243506789641407,0.0234436338548933,0.0252928696630241
"(64,69]","Localized",1,0.0149025155970051,0.0141949930985164,0.0156453063804307,0.0284074781966467,0.0273953246008426,0.0294570293502632
"(64,69]","Localized",2,0.016171156504672,0.0154357790723554,0.0169415735243031,0.0203093859363231,0.0196061215341869,0.021037876897609
"(64,69]","Localized",3,0.0170313614816484,0.0162892842790639,0.0178072478110393,0.0145924160800258,0.0140893314373222,0.0151134644986646
"(64,69]","Localized",4,0.0176755288632442,0.0169225829196086,0.0184619761987769,0.0110132264915495,0.0106221550482018,0.0114186976847273
"(64,69]","Localized",5,0.0182038493496201,0.0174247833142056,0.0190177481573687,0.00875039943201866,0.00842351974778307,0.00908996651260583
"(64,69]","Localized",6,0.0186631311410156,0.0178474206245095,0.0195161251023533,0.00728063101578241,0.00699322445484864,0.00757985163186414
"(64,69]","Localized",7,0.019073205416186,0.0182165186959773,0.0199701826301552,0.00630112441400308,0.00603994640178246,0.00657359768592715
"(64,69]","Localized",8,0.0194463247132643,0.0185480539550922,0.0203881004137852,0.00563500707998495,0.00539240772307335,0.00588852151794429
"(64,69]","Localized",9,0.0197905911590147,0.0188521541931602,0.020775744349757,0.0051758264017372,0.00494698423425348,0.00541525488853714
"(64,69]","Localized",10,0.0200339357734118,0.01906684396942,0.0210500795630834,0.00492312211276693,0.00470246021310709,0.00515413852299248
"(64,69]","Regional",0,0.0124254960143165,0.0117882522741374,0.0130972433286562,0.070179323870591,0.0679644632402128,0.072466562157232
